<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
1/14/19	93100	62.15	62.22	62.15	62.16	700
1/14/19	93200	62.16	62.16	62.1	62.1	1081
1/14/19	93300	62.12	62.12	62.12	62.12	300
1/14/19	93400	62.1	62.1	62.1	62.1	375
1/14/19	93500	62.05	62.33	62.05	62.33	200
1/14/19	93600	62.36	62.46	62.36	62.46	200
1/14/19	93700	62.55	62.56	62.55	62.56	900
1/14/19	93800	62.76	62.76	62.74	62.74	200
1/14/19	93900	62.71	62.71	62.65	62.68	800
1/14/19	94000	62.71	62.71	62.71	62.71	502
1/14/19	94200	62.79	62.79	62.79	62.79	100
1/14/19	94400	62.74	62.74	62.74	62.74	500
1/14/19	94600	62.74	62.74	62.74	62.74	100
1/14/19	94700	62.76	62.76	62.76	62.76	100
1/14/19	95000	62.74	62.74	62.74	62.74	100
1/14/19	95100	62.77	62.77	62.68	62.68	800
1/14/19	95200	62.7	62.7	62.7	62.7	100
1/14/19	95300	62.78	62.78	62.78	62.78	100
1/14/19	95400	62.83	62.83	62.82	62.82	700
1/14/19	95500	62.77	62.77	62.76	62.76	200
1/14/19	95600	62.72	62.72	62.66	62.66	300
1/14/19	95800	62.64	62.64	62.64	62.64	100
1/14/19	95900	62.67	62.67	62.67	62.67	100
1/14/19	100100	62.69	62.69	62.66	62.66	200
1/14/19	100200	62.7	62.7	62.7	62.7	100
1/14/19	100300	62.73	62.73	62.73	62.73	100
1/14/19	100400	62.72	62.72	62.71	62.71	200
1/14/19	100500	62.88	62.88	62.88	62.88	100
1/14/19	100600	62.86	62.89	62.86	62.89	200
1/14/19	100700	62.89	62.92	62.89	62.92	200
1/14/19	100800	62.97	62.98	62.97	62.97	1300
1/14/19	101000	62.98	63.01	62.98	63.01	200
1/14/19	101100	63.05	63.05	63.05	63.05	500
1/14/19	101200	63.09	63.09	63.09	63.09	300
1/14/19	101300	63.07	63.07	63.07	63.07	100
1/14/19	101400	63.08	63.13	63.08	63.12	3479
1/14/19	101500	63.15	63.19	63.15	63.19	200
1/14/19	101700	63.1	63.1	63.1	63.1	100
1/14/19	101800	63.11	63.16	63.11	63.16	500
1/14/19	101900	63.17	63.17	63.17	63.17	200
1/14/19	102000	63.22	63.26	63.22	63.26	300
1/14/19	102100	63.28	63.28	63.23	63.23	200
1/14/19	102300	63.21	63.22	63.21	63.22	1100
1/14/19	102400	63.17	63.17	63.16	63.16	300
1/14/19	102500	63.18	63.23	63.18	63.23	500
1/14/19	102700	63.11	63.11	63.11	63.11	100
1/14/19	102800	63.12	63.12	63.12	63.12	100
1/14/19	103000	63.24	63.24	63.24	63.24	100
1/14/19	103100	63.23	63.23	63.23	63.23	100
1/14/19	103300	63.23	63.23	63.23	63.23	100
1/14/19	103400	63.11	63.24	63.11	63.24	300
1/14/19	103500	63.22	63.22	63.2	63.2	700
1/14/19	103700	63.09	63.09	63.09	63.09	100
1/14/19	103900	63.1	63.1	63.1	63.1	100
1/14/19	104200	63.07	63.08	63.07	63.08	200
1/14/19	104400	63.16	63.16	63.16	63.16	100
1/14/19	104600	63.18	63.18	63.18	63.18	100
1/14/19	105000	62.89	62.89	62.89	62.89	100
1/14/19	105100	62.96	62.96	62.96	62.96	100
1/14/19	105300	62.87	62.87	62.87	62.87	100
1/14/19	105400	62.85	62.85	62.85	62.85	100
1/14/19	105600	62.97	62.97	62.93	62.93	200
1/14/19	105700	63.03	63.03	63.03	63.03	100
1/14/19	105800	62.99	62.99	62.95	62.95	2300
1/14/19	105900	62.89	62.89	62.89	62.89	100
1/14/19	110100	62.9	62.9	62.89	62.89	400
1/14/19	110200	62.93	62.93	62.93	62.93	100
1/14/19	110300	62.95	62.95	62.95	62.95	200
1/14/19	110400	62.95	62.96	62.95	62.95	300
1/14/19	110500	62.97	62.97	62.97	62.97	100
1/14/19	110600	62.94	62.94	62.88	62.88	1000
1/14/19	110700	62.87	62.87	62.87	62.87	600
1/14/19	110800	62.78	62.78	62.78	62.78	100
1/14/19	111000	62.81	62.81	62.81	62.81	100
1/14/19	111100	62.81	62.82	62.8	62.8	300
1/14/19	111200	62.79	62.83	62.79	62.83	200
1/14/19	111300	62.8	62.8	62.8	62.8	100
1/14/19	111400	62.78	62.78	62.78	62.78	100
1/14/19	111500	62.81	62.825	62.78	62.78	400
1/14/19	111600	62.82	62.84	62.8	62.8	900
1/14/19	111700	62.78	62.78	62.7	62.7	900
1/14/19	111800	62.66	62.68	62.66	62.68	1300
1/14/19	111900	62.7	62.7	62.63	62.63	3055
1/14/19	112000	62.63	62.64	62.62	62.62	300
1/14/19	112100	62.63	62.63	62.63	62.63	400
1/14/19	112200	62.65	62.65	62.63	62.63	200
1/14/19	112300	62.64	62.64	62.61	62.61	200
1/14/19	112400	62.58	62.64	62.58	62.64	400
1/14/19	112500	62.65	62.65	62.65	62.65	100
1/14/19	112700	62.73	62.73	62.73	62.73	500
1/14/19	113000	62.77	62.77	62.77	62.77	100
1/14/19	113100	62.75	62.75	62.75	62.75	108
1/14/19	113300	62.77	62.77	62.77	62.77	100
1/14/19	113400	62.81	62.81	62.81	62.81	100
1/14/19	113500	62.81	62.81	62.81	62.81	200
1/14/19	113700	62.82	62.82	62.81	62.82	500
1/14/19	113800	62.82	62.84	62.82	62.84	1198
1/14/19	113900	62.84	62.86	62.82	62.84	2600
1/14/19	114000	62.88	62.88	62.88	62.88	300
1/14/19	114100	62.95	62.95	62.95	62.95	100
1/14/19	114500	63.02	63.03	63.02	63.03	300
1/14/19	114600	63.04	63.04	63.04	63.04	100
1/14/19	114900	62.95	62.95	62.95	62.95	100
1/14/19	115000	62.93	62.93	62.93	62.93	100
1/14/19	115100	62.96	62.96	62.96	62.96	100
1/14/19	115200	62.95	62.95	62.95	62.95	100
1/14/19	115600	62.83	62.83	62.83	62.83	100
1/14/19	115900	62.85	62.86	62.85	62.86	400
1/14/19	120000	62.83	62.83	62.83	62.83	100
1/14/19	120100	62.85	62.85	62.85	62.85	100
1/14/19	120200	62.89	62.89	62.89	62.89	100
1/14/19	120400	62.91	62.91	62.91	62.91	700
1/14/19	120500	62.89	62.89	62.89	62.89	100
1/14/19	120600	62.9	62.9	62.9	62.9	100
1/14/19	120800	62.91	62.91	62.91	62.91	100
1/14/19	121100	62.91	62.91	62.91	62.91	200
1/14/19	121200	62.92	62.93	62.92	62.93	400
1/14/19	121400	62.93	62.94	62.93	62.94	600
1/14/19	121500	62.94	62.95	62.94	62.95	400
1/14/19	121700	63.01	63.02	63	63.02	400
1/14/19	121900	63.12	63.15	63.12	63.15	200
1/14/19	122000	63.17	63.17	63.17	63.17	178
1/14/19	122100	63.15	63.15	63.14	63.14	300
1/14/19	122200	63.15	63.15	63.15	63.15	100
1/14/19	122300	63.14	63.14	63.14	63.14	100
1/14/19	122400	63.14	63.14	63.13	63.13	200
1/14/19	122500	63.12	63.12	63.12	63.12	100
1/14/19	122600	63.1	63.1	63.1	63.1	100
1/14/19	123200	63.1	63.1	63.08	63.08	300
1/14/19	123500	63.09	63.09	63.09	63.09	100
1/14/19	123700	63.08	63.08	63.06	63.06	200
1/14/19	124200	63.14	63.14	63.14	63.14	100
1/14/19	124300	63.11	63.11	63.11	63.11	100
1/14/19	124500	63.13	63.13	63.13	63.13	100
1/14/19	124600	63.18	63.18	63.18	63.18	100
1/14/19	125100	63.12	63.12	63.12	63.12	100
1/14/19	125200	63.1	63.1	63.1	63.1	100
1/14/19	125300	63.11	63.11	63.11	63.11	100
1/14/19	125400	63.1	63.1	63.09	63.09	200
1/14/19	125900	63.08	63.08	63.08	63.08	100
1/14/19	130100	63.06	63.06	63.06	63.06	100
1/14/19	130400	63.06	63.06	63.06	63.06	100
1/14/19	130500	63.05	63.06	63.05	63.05	400
1/14/19	130600	63.02	63.02	63.02	63.02	100
1/14/19	130800	62.98	62.98	62.98	62.98	100
1/14/19	130900	62.99	63	62.99	63	400
1/14/19	131000	63	63	63	63	100
1/14/19	131200	63.04	63.06	63.04	63.06	600
1/14/19	131300	63.09	63.11	63.09	63.11	500
1/14/19	131400	63.13	63.19	63.13	63.19	1100
1/14/19	131500	63.2	63.21	63.19	63.19	400
1/14/19	131600	63.21	63.21	63.21	63.21	100
1/14/19	131700	63.2	63.21	63.2	63.21	200
1/14/19	131900	63.24	63.24	63.24	63.24	100
1/14/19	132200	63.26	63.26	63.26	63.26	100
1/14/19	132600	63.21	63.23	63.21	63.23	200
1/14/19	132800	63.23	63.23	63.22	63.22	500
1/14/19	133100	63.2	63.2	63.17	63.18	3000
1/14/19	133300	63.18	63.18	63.18	63.18	400
1/14/19	133500	63.14	63.14	63.14	63.14	100
1/14/19	133600	63.15	63.16	63.15	63.16	300
1/14/19	133700	63.15	63.15	63.13	63.14	600
1/14/19	133800	63.16	63.17	63.16	63.17	200
1/14/19	133900	63.13	63.13	63.13	63.13	100
1/14/19	134000	63.12	63.12	63.12	63.12	100
1/14/19	134100	63.13	63.13	63.13	63.13	100
1/14/19	134200	63.15	63.16	63.15	63.16	1400
1/14/19	134300	63.16	63.18	63.16	63.18	500
1/14/19	134400	63.18	63.18	63.18	63.18	100
1/14/19	134500	63.135	63.135	63.135	63.135	100
1/14/19	134600	63.11	63.11	63.09	63.09	200
1/14/19	134800	63.1	63.1	63.1	63.1	100
1/14/19	135000	63.02	63.02	63.02	63.02	400
1/14/19	135100	63	63	62.98	62.98	200
1/14/19	135200	62.97	62.97	62.95	62.95	300
1/14/19	135500	62.99	62.99	62.99	62.99	100
1/14/19	135700	62.99	62.99	62.99	62.99	100
1/14/19	135800	62.97	62.97	62.97	62.97	100
1/14/19	135900	62.9	62.9	62.9	62.9	349
1/14/19	140000	62.91	62.91	62.91	62.91	100
1/14/19	140100	62.91	62.91	62.89	62.89	300
1/14/19	140200	62.87	62.88	62.87	62.88	600
1/14/19	140500	62.96	62.96	62.96	62.96	100
1/14/19	140600	62.98	62.98	62.98	62.98	100
1/14/19	140700	62.99	62.99	62.99	62.99	100
1/14/19	141000	62.94	62.94	62.92	62.92	800
1/14/19	141200	62.89	62.89	62.89	62.89	100
1/14/19	141400	62.88	62.88	62.88	62.88	100
1/14/19	141700	62.86	62.86	62.86	62.86	200
1/14/19	141800	62.87	62.87	62.87	62.87	100
1/14/19	141900	62.86	62.86	62.86	62.86	100
1/14/19	142100	62.82	62.82	62.82	62.82	100
1/14/19	142300	62.83	62.85	62.83	62.85	200
1/14/19	142400	62.87	62.87	62.85	62.85	300
1/14/19	142600	62.85	62.85	62.85	62.85	200
1/14/19	142700	62.84	62.84	62.795	62.8	1400
1/14/19	142800	62.81	62.81	62.81	62.81	100
1/14/19	143100	62.91	62.91	62.91	62.91	200
1/14/19	143200	62.9	62.93	62.9	62.93	200
1/14/19	143300	62.92	62.92	62.92	62.92	100
1/14/19	143400	62.91	62.91	62.91	62.91	200
1/14/19	143600	62.95	62.96	62.95	62.95	400
1/14/19	143700	62.95	62.95	62.945	62.945	200
1/14/19	143800	62.965	62.965	62.965	62.965	100
1/14/19	143900	62.99	62.99	62.99	62.99	100
1/14/19	144000	63.005	63.02	63	63.02	300
1/14/19	144100	63.03	63.04	63.03	63.04	400
1/14/19	144300	63.045	63.08	63.045	63.07	900
1/14/19	144400	63.1	63.1	63.09	63.09	300
1/14/19	144500	63.085	63.11	63.085	63.11	200
1/14/19	144600	63.11	63.12	63.11	63.12	300
1/14/19	144700	63.13	63.13	63.13	63.13	200
1/14/19	144800	63.13	63.14	63.13	63.14	200
1/14/19	144900	63.14	63.14	63.14	63.14	100
1/14/19	145000	63.13	63.13	63.13	63.13	200
1/14/19	145100	63.14	63.14	63.14	63.14	200
1/14/19	145200	63.13	63.13	63.13	63.13	100
1/14/19	145300	63.11	63.11	63.11	63.11	200
1/14/19	145400	63.11	63.11	63.11	63.11	100
1/14/19	145500	63.1	63.1	63.08	63.08	500
1/14/19	145600	63.08	63.09	63.08	63.09	400
1/14/19	145700	63.13	63.13	63.13	63.13	100
1/14/19	150000	63.13	63.13	63.12	63.12	300
1/14/19	150100	63.11	63.11	63.11	63.11	200
1/14/19	150300	63.09	63.09	63.09	63.09	100
1/14/19	150400	63.07	63.08	63.07	63.08	200
1/14/19	150500	63.06	63.07	63.06	63.07	200
1/14/19	150600	63.1	63.1	63.1	63.1	100
1/14/19	150700	63.09	63.09	63.09	63.09	200
1/14/19	150800	63.1	63.1	63.1	63.1	200
1/14/19	150900	63.1	63.13	63.1	63.13	300
1/14/19	151000	63.12	63.12	63.12	63.12	200
1/14/19	151100	63.11	63.11	63.1	63.1	200
1/14/19	151200	63.09	63.09	63.075	63.075	200
1/14/19	151300	63.06	63.08	63.06	63.08	200
1/14/19	151400	63.08	63.08	63.04	63.04	500
1/14/19	151500	63.03	63.03	63.02	63.02	300
1/14/19	151600	63.03	63.03	63.03	63.03	100
1/14/19	151700	63.065	63.065	63.065	63.065	100
1/14/19	151800	63.08	63.08	63.08	63.08	700
1/14/19	151900	63.07	63.07	63.07	63.07	100
1/14/19	152000	63.08	63.09	63.08	63.08	600
1/14/19	152100	63.08	63.08	63.08	63.08	100
1/14/19	152200	63.09	63.09	63.09	63.09	200
1/14/19	152300	63.09	63.09	63.06	63.06	446
1/14/19	152400	63.07	63.11	63.07	63.11	500
1/14/19	152600	63.09	63.09	63.06	63.06	300
1/14/19	152700	63.07	63.07	63.07	63.07	196
1/14/19	152800	63.05	63.06	63.05	63.06	300
1/14/19	152900	63.09	63.1	63.09	63.1	300
1/14/19	153000	63.11	63.11	63.11	63.11	215
1/14/19	153100	63.05	63.05	63.05	63.05	200
1/14/19	153200	63.06	63.11	63.06	63.11	800
1/14/19	153300	63.09	63.09	63.09	63.09	230
1/14/19	153400	63.08	63.08	63.045	63.045	890
1/14/19	153500	63.03	63.03	63.03	63.03	100
1/14/19	153600	63.03	63.03	63.03	63.03	100
1/14/19	153700	62.99	62.99	62.97	62.97	400
1/14/19	153800	62.97	62.97	62.97	62.97	300
1/14/19	153900	62.965	62.97	62.965	62.97	500
1/14/19	154000	62.98	62.99	62.98	62.99	400
1/14/19	154100	62.99	62.99	62.97	62.97	500
1/14/19	154200	62.96	62.96	62.96	62.96	500
1/14/19	154300	62.94	62.94	62.93	62.94	679
1/14/19	154400	62.96	62.97	62.96	62.96	1251
1/14/19	154500	62.97	62.98	62.97	62.98	1100
1/14/19	154600	62.955	62.99	62.955	62.99	500
1/14/19	154700	62.99	63	62.99	62.99	1500
1/14/19	154800	62.99	62.99	62.97	62.97	980
1/14/19	154900	62.97	63	62.97	63	900
1/14/19	155000	63	63.01	62.99	62.99	700
1/14/19	155100	62.99	62.99	62.99	62.99	200
1/14/19	155200	62.98	62.98	62.97	62.98	800
1/14/19	155300	62.99	62.99	62.95	62.95	1251
1/14/19	155400	62.94	62.94	62.93	62.94	700
1/14/19	155500	62.93	62.93	62.915	62.92	700
1/14/19	155600	62.96	62.97	62.96	62.97	857
1/14/19	155700	62.97	63.01	62.97	63.01	800
1/14/19	155800	62.99	63	62.99	62.99	1000
1/14/19	155900	62.99	63.09	62.99	63.09	4471
1/14/19	160000	63.08	63.275	63.08	63.225	9405